joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.0005815440587420642,0.6196698406209333,0.008835334695888576,0.002495926254028487,-0.009309166171913213,0.6067916334215653,0.5641626415916362
0.00058331507373024,0.6270392890157713,0.008835639593828165,0.00363061815805863,-0.009305218179713975,0.6130178477744153,0.5655632812391294
0.0005855018357168107,0.6361387205391745,0.008836016066770815,0.005031679774571833,-0.009300343393604195,0.6207056702705296,0.5672927220165768
0.0005881258646063302,0.6470576826128928,0.008836467819583284,0.006712898938022202,-0.009294493840858698,0.6299307567002315,0.5693679833347287
0.0005912028435927457,0.6598614352653454,0.008836997552284237,0.008684323893805735,-0.009287634560097837,0.6407482432017833,0.5718014685348262
0.000594742903876988,0.6745921358825161,0.00883760700906122,0.010952445717238756,-0.009279742966587713,0.6531937472200227,0.5746011900627241
0.000598750909384563,0.6912700239588466,0.008838297027287646,0.013520380732536353,-0.009270808217540382,0.6672843684650009,0.5777709946430132
0.000603226741483141,0.7098946058481311,0.008839067586539776,0.016388052931790846,-0.00926083057741409,0.6830196898706192,0.5813107884531424
0.0006081655837001484,0.7304458395144101,0.00883991785761369,0.019552376393950216,-0.009249820783213479,0.7003827785532659,0.5852167622975415
0.0006135582064403575,0.752885319282865,0.008840846251542281,0.02300743770379655,-0.009237799409789806,0.719341186770454,0.5894816167817432
0.0006193912517034776,0.7771574605907116,0.008841850468612222,0.02674467837092448,-0.009224796235141169,0.739847952879458,0.5940947874865057
0.000625647517801745,0.8031906847380949,0.008842927547380957,0.030753077248719635,-0.009210849605712718,0.7618426022959511,0.599042670141935
0.0006323062440775141,0.830898603638983,0.008844073913693674,0.0350193329533371,-0.009196005801696876,0.7852521484526422,0.6043088458016075
0.0006393433956208477,0.8601812045720612,0.00884528542970029,0.03952804628267982,-0.009180318402333555,0.8099920937579134,0.6098743060166919
0.0006467319479871079,0.8909260349316264,0.008846557442872426,0.044261902635377125,-0.009163847651210378,0.8359674305544568,0.6157176780100722
0.0006544421719145458,0.9230093869784806,0.008847884835020393,0.04920185442976305,-0.009146659821562894,0.8630736420779115,0.6218154498504693
0.0006624419180418934,0.9562974825908259,0.008849262071310171,0.05432730352285493,-0.009128826581574795,0.8911977034155016,0.6281421956265646
0.0006706969016259529,0.9906476580151582,0.008850683249280384,0.05961628362933167,-0.009110424359678142,0.9202190824646719,0.6346708006211208
0.0006791709872591877,1.025909548617161,0.008852142147859286,0.06504564274051233,-0.009091533709853574,0.9500107408917262,0.6413726864851057
